Date,Year,Month,Open,High,Low,Close*,Adj Close**, Volume ,Returns
09/11/2017,2017,Nov,2584,2586.5,2566.33,2584.62,2584.62," 3,831,610,000 ",0.000239881
10/11/2017,2017,Nov,2580.18,2583.81,2575.57,2582.3,2582.3," 3,486,910,000 ",0.000820974
13/11/2017,2017,Nov,2576.53,2587.66,2574.48,2584.84,2584.84," 3,402,930,000 ",0.003214899
14/11/2017,2017,Nov,2577.75,2579.66,2566.56,2578.87,2578.87," 3,641,760,000 ",0.000434299
15/11/2017,2017,Nov,2569.45,2572.84,2557.45,2564.62,2564.62," 3,558,890,000 ",-0.00188332
16/11/2017,2017,Nov,2572.95,2590.09,2572.95,2585.64,2585.64," 3,312,710,000 ",0.004907876
17/11/2017,2017,Nov,2582.94,2583.96,2577.62,2578.85,2578.85," 3,300,160,000 ",-0.001585978
20/11/2017,2017,Nov,2579.49,2584.64,2578.24,2582.14,2582.14," 3,003,540,000 ",0.001026281
21/11/2017,2017,Nov,2589.17,2601.19,2589.17,2599.03,2599.03," 3,332,720,000 ",0.003793723
22/11/2017,2017,Nov,2600.31,2600.94,2595.23,2597.08,2597.08," 2,762,950,000 ",-0.001243704
24/11/2017,2017,Nov,2600.42,2604.21,2600.42,2602.42,2602.42," 1,349,780,000 ",0.000768515
27/11/2017,2017,Nov,2602.66,2606.41,2598.87,2601.42,2601.42," 3,006,860,000 ",-0.000476663
28/11/2017,2017,Nov,2605.94,2627.69,2605.44,2627.04,2627.04," 3,488,420,000 ",0.008031853
29/11/2017,2017,Nov,2627.82,2634.89,2620.32,2626.07,2626.07," 4,078,280,000 ",-0.000666395
30/11/2017,2017,Nov,2633.93,2657.74,2633.93,2647.58,2647.58," 4,938,490,000 ",0.005155652
01/12/2017,2017,Dec,2645.1,2650.62,2605.52,2642.22,2642.22," 3,942,320,000 ",-0.001089993
04/12/2017,2017,Dec,2657.19,2665.19,2639.03,2639.44,2639.44," 4,023,150,000 ",-0.006724911
05/12/2017,2017,Dec,2639.78,2648.72,2627.73,2629.57,2629.57," 3,539,040,000 ",-0.003882764
06/12/2017,2017,Dec,2626.24,2634.41,2624.75,2629.27,2629.27," 3,229,000,000 ",0.001152411
07/12/2017,2017,Dec,2628.38,2640.99,2626.53,2636.98,2636.98," 3,292,400,000 ",0.003261306
08/12/2017,2017,Dec,2646.21,2651.65,2644.1,2651.5,2651.5," 3,106,150,000 ",0.001995097
11/12/2017,2017,Dec,2652.19,2660.33,2651.47,2659.99,2659.99," 3,091,950,000 ",0.002932342
12/12/2017,2017,Dec,2661.73,2669.72,2659.78,2664.11,2664.11," 3,555,680,000 ",0.000893357
13/12/2017,2017,Dec,2667.59,2671.88,2662.85,2662.85,2662.85," 3,542,370,000 ",-0.001780048
14/12/2017,2017,Dec,2665.87,2668.09,2652.01,2652.01,2652.01," 3,430,030,000 ",-0.005226225
15/12/2017,2017,Dec,2660.63,2679.63,2659.14,2675.81,2675.81," 5,723,920,000 ",0.005673049
18/12/2017,2017,Dec,2685.92,2694.97,2685.92,2690.16,2690.16," 3,724,660,000 ",0.001576114
19/12/2017,2017,Dec,2692.71,2694.44,2680.74,2681.47,2681.47," 3,368,590,000 ",-0.004191731
20/12/2017,2017,Dec,2688.18,2691.01,2676.11,2679.25,2679.25," 3,241,030,000 ",-0.003333022
21/12/2017,2017,Dec,2683.02,2692.64,2682.4,2684.57,2684.57," 3,273,390,000 ",0.000577374
22/12/2017,2017,Dec,2684.22,2685.35,2678.13,2683.34,2683.34," 2,399,830,000 ",-0.000327949
26/12/2017,2017,Dec,2679.09,2682.74,2677.96,2680.5,2680.5," 1,968,780,000 ",0.000526021
27/12/2017,2017,Dec,2682.1,2685.64,2678.91,2682.62,2682.62," 2,202,080,000 ",0.00019384
28/12/2017,2017,Dec,2686.1,2687.66,2682.69,2687.54,2687.54," 2,153,330,000 ",0.000535806
29/12/2017,2017,Dec,2689.15,2692.12,2673.61,2673.61,2673.61," 2,443,490,000 ",-0.005812366
02/01/2018,2018,Jan,2683.73,2695.89,2682.36,2695.81,2695.81," 3,367,250,000 ",0.004481028
03/01/2018,2018,Jan,2697.85,2714.37,2697.77,2713.06,2713.06," 3,538,660,000 ",0.005606216
04/01/2018,2018,Jan,2719.31,2729.29,2719.07,2723.99,2723.99," 3,695,260,000 ",0.001718068
05/01/2018,2018,Jan,2731.33,2743.45,2727.92,2743.15,2743.15," 3,236,620,000 ",0.004308915
08/01/2018,2018,Jan,2742.67,2748.51,2737.6,2747.71,2747.71," 3,242,650,000 ",0.001834255
09/01/2018,2018,Jan,2751.15,2759.14,2747.86,2751.29,2751.29," 3,453,480,000 ",5.08852E-05
10/01/2018,2018,Jan,2745.55,2750.8,2736.06,2748.23,2748.23," 3,576,350,000 ",0.000975173
11/01/2018,2018,Jan,2752.97,2767.56,2752.78,2767.56,2767.56," 3,641,320,000 ",0.005271792
12/01/2018,2018,Jan,2770.18,2787.85,2769.64,2786.24,2786.24," 3,573,970,000 ",0.00576404
16/01/2018,2018,Jan,2798.96,2807.54,2768.64,2776.42,2776.42," 4,325,970,000 ",-0.008118368
17/01/2018,2018,Jan,2784.99,2807.04,2778.38,2802.56,2802.56," 3,778,050,000 ",0.006269268
18/01/2018,2018,Jan,2802.4,2805.83,2792.56,2798.03,2798.03," 3,681,470,000 ",-0.001561813
19/01/2018,2018,Jan,2802.6,2810.33,2798.08,2810.3,2810.3," 3,639,430,000 ",0.002739921
22/01/2018,2018,Jan,2809.16,2833.03,2808.12,2832.97,2832.97," 3,471,780,000 ",0.008404607
23/01/2018,2018,Jan,2835.05,2842.24,2830.59,2839.13,2839.13," 3,519,650,000 ",0.00143706
24/01/2018,2018,Jan,2845.42,2852.97,2824.81,2837.54,2837.54," 4,014,070,000 ",-0.002777053
